trade_date,stock_code,target_weight
2020-10-14,sh603160,0.1
2020-10-14,sh603383,0.1
2020-10-14,sh603508,0.1
2020-10-14,sh603518,0.1
2020-10-14,sz000560,0.1
2020-10-14,sh600547,0.1
2020-10-14,sh600392,0.1
2020-10-21,sh600523,0.1
2020-10-21,sh600150,0.1
2020-10-21,sh603383,0.1
2020-10-21,sh603811,0.1
2020-10-21,sz002840,0.1
2020-10-21,sh600482,0.1
2020-10-21,sh600965,0.1
2020-10-21,sz300226,0.1
2020-10-21,sz300761,0.1
2020-10-21,sz002419,0.1
2020-10-28,sz300226,0.1
2020-10-28,sz300498,0.1
2020-10-28,sh600979,0.1
2020-10-28,sz300761,0.1
2020-10-28,sz002419,0.1
2020-10-28,sz000917,0.1
2020-10-28,sz002746,0.1
2020-10-28,sh600965,0.1
2020-10-28,sh601595,0.1
2020-10-28,sz002017,0.1
2020-11-04,sz000958,0.1
2020-11-04,sz002419,0.1
2020-11-04,sz002530,0.1
2020-11-04,sh600328,0.1
2020-11-04,sh600965,0.1
2020-11-04,sh603096,0.1
2020-11-04,sh600613,0.1
2020-11-04,sz002746,0.1
2020-11-04,sh601595,0.1
2020-11-04,sh603508,0.1
2020-11-11,sh603888,0.1
2020-11-11,sz000605,0.1
2020-11-11,sh600759,0.1
2020-11-11,sz002274,0.1
2020-11-11,sh600965,0.1
2020-11-11,sz000506,0.1
2020-11-11,sh601595,0.1
2020-11-11,sh600613,0.1
2020-11-11,sz002564,0.1
2020-11-11,sh600793,0.1
2020-11-18,sh601002,0.1
2020-11-18,sz300492,0.1
2020-11-18,sz002564,0.1
2020-11-18,sh603883,0.1
2020-11-18,sz000020,0.1
2020-11-18,sh603318,0.1
2020-11-18,sh600793,0.1
2020-11-18,sh600094,0.1
2020-11-18,sh600613,0.1
2020-11-18,sz002468,0.1
2020-11-25,sh600094,0.1
2020-11-25,sz002564,0.1
2020-11-25,sh600793,0.1
2020-11-25,sh603637,0.1
2020-11-25,sz300492,0.1
2020-11-25,sh603607,0.1
2020-11-25,sh600613,0.1
2020-11-25,sh603318,0.1
2020-11-25,sh603499,0.1
2020-11-25,sz000020,0.1
2020-12-02,sz002395,0.1
2020-12-02,sz002468,0.1
2020-12-02,sh600793,0.1
2020-12-02,sh600094,0.1
2020-12-02,sz002198,0.1
2020-12-02,sz300492,0.1
2020-12-02,sz002627,0.1
2020-12-02,sh603318,0.1
2020-12-02,sh600593,0.1
2020-12-02,sh600613,0.1
2020-12-09,sz002627,0.1
2020-12-09,sh603637,0.1
2020-12-09,sz300783,0.1
2020-12-09,sh600094,0.1
2020-12-09,sz002198,0.1
2020-12-09,sz002468,0.1
2020-12-09,sz002530,0.1
2020-12-09,sh600613,0.1
2020-12-09,sh600593,0.1
2020-12-09,sh603569,0.1
2020-12-16,sh600094,0.1
2020-12-16,sh600613,0.1
2020-12-16,sz300284,0.1
2020-12-16,sh603569,0.1
2020-12-16,sz002468,0.1
2020-12-16,sz300533,0.1
2020-12-16,sz002530,0.1
2020-12-16,sz300559,0.1
2020-12-16,sh603610,0.1
2020-12-16,sz300387,0.1
2020-12-23,sh600613,0.1
2020-12-23,sz300783,0.1
2020-12-23,sz300284,0.1
2020-12-23,sh603383,0.1
2020-12-23,sh603569,0.1
2020-12-23,sz002468,0.1
2020-12-23,sz300653,0.1
2020-12-23,sz300533,0.1
2020-12-23,sh603610,0.1
2020-12-23,sh600793,0.1
2020-12-30,sz002779,0.1
2020-12-30,sz002468,0.1
2020-12-30,sz300360,0.1
2020-12-30,sz300577,0.1
2020-12-30,sz300783,0.1
2020-12-30,sz300533,0.1
2020-12-30,sz300109,0.1
2020-12-30,sh603326,0.1
2020-12-30,sz300790,0.1
2020-12-30,sz300653,0.1
2021-01-07,sh603180,0.1
2021-01-07,sh600615,0.1
2021-01-07,sz300577,0.1
2021-01-07,sh603383,0.1
2021-01-07,sh600094,0.1
2021-01-07,sz002058,0.1
2021-01-07,sz300109,0.1
2021-01-07,sz300533,0.1
2021-01-07,sh603326,0.1
2021-01-07,sh603022,0.1
2021-01-14,sh600589,0.1
2021-01-14,sh603090,0.1
2021-01-14,sh603383,0.1
2021-01-14,sz000985,0.1
2021-01-14,sz002779,0.1
2021-01-14,sz300384,0.1
2021-01-14,sz002969,0.1
2021-01-14,sh603022,0.1
2021-01-14,sz300109,0.1
2021-01-14,sh603499,0.1
2021-01-21,sz300109,0.1
2021-01-21,sh603360,0.1
2021-01-21,sz002476,0.1
2021-01-21,sh603383,0.1
2021-01-21,sz002840,0.1
2021-01-21,sh600455,0.1
2021-01-21,sz002969,0.1
2021-01-21,sh603022,0.1
2021-01-21,sz002917,0.1
2021-01-21,sz002201,0.1
2021-01-28,sz002117,0.1
2021-01-28,sz002451,0.1
2021-01-28,sz002476,0.1
2021-01-28,sh603022,0.1
2021-01-28,sz002248,0.1
2021-01-28,sh603360,0.1
2021-01-28,sh603383,0.1
2021-01-28,sz300109,0.1
2021-01-28,sz300577,0.1
2021-01-28,sh603089,0.1
2021-02-04,sz300445,0.1
2021-02-04,sh603320,0.1
2021-02-04,sh603090,0.1
2021-02-04,sh603318,0.1
2021-02-04,sh688108,0.1
2021-02-04,sz002042,0.1
2021-02-04,sz002058,0.1
2021-02-04,sh600589,0.1
2021-02-04,sh603929,0.1
2021-02-04,sz002248,0.1
2021-02-18,sh600778,0.1
2021-02-18,sh688108,0.1
2021-02-18,sh603320,0.1
2021-02-18,sz002094,0.1
2021-02-18,sh603090,0.1
2021-02-18,sz002969,0.1
2021-02-18,sh603929,0.1
2021-02-18,sz300500,0.1
2021-02-18,sz002779,0.1
2021-02-18,sh603933,0.1
