Date,Security_Type,Symbol,Side,Quantity,Available_Qty,Close_Price,Market_Value,Floating_PnL,Avg_Open_Price,Avg_Position_Price,Margin,Daily_PnL,Today_Lots,PnL_Ratio,Position_Weight
2018-01-02,Stock,陕西煤业(601225.XSHG),Long,2400Shares,0Shares,8.61,20664,792,8.28,-,0,792,2400Shares,3.99%,104984.15,19.68%
2018-01-02,Stock,海螺水泥(600585.XSHG),Long,600Shares,0Shares,31.96,19176,1296,29.8,-,0,1296,600Shares,7.25%,104984.15,18.27%
2018-01-02,Stock,川投能源(600674.XSHG),Long,1900Shares,0Shares,10.42,19798,380,10.22,-,0,380,1900Shares,1.96%,104984.15,18.86%
2018-01-02,Stock,金地集团(600383.XSHG),Long,1500Shares,0Shares,13.82,20730,1440,12.86,-,0,1440,1500Shares,7.47%,104984.15,19.75%
2018-01-02,Stock,长城汽车(601633.XSHG),Long,1700Shares,0Shares,12.25,20825,1105,11.6,-,0,1105,1700Shares,5.6%,104984.15,19.84%
2018-01-02,,Cash,,,,,3791.15,,,,,,,,0
2018-01-03,Stock,陕西煤业(601225.XSHG),Long,2400Shares,2400Shares,8.64,20736,864,8.28,-,0,72,0Shares,4.35%,104925.15,19.76%
2018-01-03,Stock,海螺水泥(600585.XSHG),Long,600Shares,600Shares,31.68,19008,1128,29.8,-,0,-168,0Shares,6.31%,104925.15,18.12%
2018-01-03,Stock,川投能源(600674.XSHG),Long,1900Shares,1900Shares,10.43,19817,399,10.22,-,0,19,0Shares,2.05%,104925.15,18.89%
2018-01-03,Stock,金地集团(600383.XSHG),Long,1500Shares,1500Shares,13.73,20595,1305,12.86,-,0,-135,0Shares,6.77%,104925.15,19.63%
2018-01-03,Stock,长城汽车(601633.XSHG),Long,1700Shares,1700Shares,12.34,20978,1258,11.6,-,0,153,0Shares,6.38%,104925.15,19.99%
2018-01-03,,Cash,,,,,3791.15,,,,,,,,0
2018-01-04,Stock,陕西煤业(601225.XSHG),Long,2400Shares,2400Shares,8.89,21336,1464,8.28,-,0,600,0Shares,7.37%,105895.15,20.15%
2018-01-04,Stock,海螺水泥(600585.XSHG),Long,600Shares,600Shares,32.1,19260,1380,29.8,-,0,252,0Shares,7.72%,105895.15,18.19%
2018-01-04,Stock,川投能源(600674.XSHG),Long,1900Shares,1900Shares,10.43,19817,399,10.22,-,0,0,0Shares,2.05%,105895.15,18.71%
2018-01-04,Stock,金地集团(600383.XSHG),Long,1500Shares,1500Shares,13.82,20730,1440,12.86,-,0,135,0Shares,7.47%,105895.15,19.58%
2018-01-04,Stock,长城汽车(601633.XSHG),Long,1700Shares,1700Shares,12.33,20961,1241,11.6,-,0,-17,0Shares,6.29%,105895.15,19.79%
2018-01-04,,Cash,,,,,3791.15,,,,,,,,0
2018-01-05,Stock,陕西煤业(601225.XSHG),Long,2400Shares,2400Shares,8.85,21240,1368,8.28,-,0,-96,0Shares,6.88%,107691.15,19.72%
2018-01-05,Stock,海螺水泥(600585.XSHG),Long,600Shares,600Shares,32.65,19590,1710,29.8,-,0,330,0Shares,9.56%,107691.15,18.19%
2018-01-05,Stock,川投能源(600674.XSHG),Long,1900Shares,1900Shares,10.47,19893,475,10.22,-,0,76,0Shares,2.45%,107691.15,18.47%
2018-01-05,Stock,金地集团(600383.XSHG),Long,1500Shares,1500Shares,14.72,22080,2790,12.86,-,0,1350,0Shares,14.46%,107691.15,20.5%
2018-01-05,Stock,长城汽车(601633.XSHG),Long,1700Shares,1700Shares,12.41,21097,1377,11.6,-,0,136,0Shares,6.98%,107691.15,19.59%
2018-01-05,,Cash,,,,,3791.15,,,,,,,,0
2018-01-08,Stock,陕西煤业(601225.XSHG),Long,2400Shares,2400Shares,9.4,22560,2688,8.28,-,0,1320,0Shares,13.53%,111785.15,20.18%
2018-01-08,Stock,海螺水泥(600585.XSHG),Long,600Shares,600Shares,33.97,20382,2502,29.8,-,0,792,0Shares,13.99%,111785.15,18.23%
2018-01-08,Stock,川投能源(600674.XSHG),Long,1900Shares,1900Shares,10.58,20102,684,10.22,-,0,209,0Shares,3.52%,111785.15,17.98%
2018-01-08,Stock,金地集团(600383.XSHG),Long,1500Shares,1500Shares,15.46,23190,3900,12.86,-,0,1110,0Shares,20.22%,111785.15,20.75%
2018-01-08,Stock,长城汽车(601633.XSHG),Long,1700Shares,1700Shares,12.8,21760,2040,11.6,-,0,663,0Shares,10.34%,111785.15,19.47%
2018-01-08,,Cash,,,,,3791.15,,,,,,,,0
2018-01-09,Stock,陕西煤业(601225.XSHG),Long,2400Shares,2400Shares,9.3,22320,2448,8.28,-,0,-240,0Shares,12.32%,110891.15,20.13%
2018-01-09,Stock,海螺水泥(600585.XSHG),Long,600Shares,600Shares,33.38,20028,2148,29.8,-,0,-354,0Shares,12.01%,110891.15,18.06%
2018-01-09,Stock,川投能源(600674.XSHG),Long,1900Shares,1900Shares,10.13,19247,-171,10.22,-,0,-855,0Shares,-0.88%,110891.15,17.36%
2018-01-09,Stock,金地集团(600383.XSHG),Long,1500Shares,1500Shares,15.83,23745,4455,12.86,-,0,555,0Shares,23.09%,110891.15,21.41%
2018-01-09,Stock,长城汽车(601633.XSHG),Long,1700Shares,1700Shares,12.8,21760,2040,11.6,-,0,0,0Shares,10.34%,110891.15,19.62%
2018-01-09,,Cash,,,,,3791.15,,,,,,,,0
2018-01-10,Stock,陕西煤业(601225.XSHG),Long,2400Shares,2400Shares,9.23,22152,2280,8.28,-,0,-168,0Shares,11.47%,110035.16,20.13%
2018-01-10,Stock,海螺水泥(600585.XSHG),Long,600Shares,600Shares,33.71,20226,2346,29.8,-,0,198,0Shares,13.12%,110035.16,18.38%
2018-01-10,Stock,川投能源(600674.XSHG),Long,1900Shares,1900Shares,10.08,19152,-266,10.22,-,0,-95,0Shares,-1.37%,110035.16,17.41%
2018-01-10,Stock,金地集团(600383.XSHG),Long,800Shares,800Shares,16.08,12864,2576,12.86,-,0,200,0Shares,25.04%,110035.16,11.69%
2018-01-10,Stock,长城汽车(601633.XSHG),Long,1700Shares,1700Shares,12.28,20876,1156,11.6,-,0,-884,0Shares,5.86%,110035.16,18.97%
2018-01-10,,Cash,,,,,14765.16,,,,,,,,0
2018-01-11,Stock,陕西煤业(601225.XSHG),Long,2400Shares,2400Shares,8.96,21504,1632,8.28,-,0,-648,0Shares,8.21%,107673.72,19.97%
2018-01-11,Stock,海螺水泥(600585.XSHG),Long,600Shares,600Shares,31.24,18744,864,29.8,-,0,-1482,0Shares,4.83%,107673.72,17.41%
2018-01-11,Stock,川投能源(600674.XSHG),Long,1900Shares,1900Shares,10.06,19114,-304,10.22,-,0,-38,0Shares,-1.57%,107673.72,17.75%
2018-01-11,Stock,金地集团(600383.XSHG),Long,400Shares,400Shares,15.88,6352,1208,12.86,-,0,-80,0Shares,23.48%,107673.72,5.9%
2018-01-11,Stock,长城汽车(601633.XSHG),Long,1700Shares,1700Shares,12.22,20774,1054,11.6,-,0,-102,0Shares,5.34%,107673.72,19.29%
2018-01-11,,Cash,,,,,21185.72,,,,,,,,0
2018-01-12,Stock,陕西煤业(601225.XSHG),Long,2400Shares,2400Shares,9.05,21720,1848,8.28,-,0,216,0Shares,9.3%,107983.57,20.11%
2018-01-12,Stock,海螺水泥(600585.XSHG),Long,600Shares,600Shares,31.56,18936,1056,29.8,-,0,192,0Shares,5.91%,107983.57,17.54%
2018-01-12,Stock,川投能源(600674.XSHG),Long,1900Shares,1900Shares,10,19000,-418,10.22,-,0,-114,0Shares,-2.15%,107983.57,17.6%
2018-01-12,Stock,金地集团(600383.XSHG),Long,200Shares,200Shares,15.92,3184,612,12.86,-,0,8,0Shares,23.79%,107983.57,2.95%
2018-01-12,Stock,长城汽车(601633.XSHG),Long,1700Shares,1700Shares,12.24,20808,1088,11.6,-,0,34,0Shares,5.52%,107983.57,19.27%
2018-01-12,,Cash,,,,,24335.57,,,,,,,,0
2018-01-15,Stock,陕西煤业(601225.XSHG),Long,2400Shares,2400Shares,8.65,20760,888,8.28,-,0,-960,0Shares,4.47%,106491.97,19.49%
2018-01-15,Stock,海螺水泥(600585.XSHG),Long,600Shares,600Shares,31.37,18822,942,29.8,-,0,-114,0Shares,5.27%,106491.97,17.67%
2018-01-15,Stock,川投能源(600674.XSHG),Long,1900Shares,1900Shares,9.89,18791,-627,10.22,-,0,-209,0Shares,-3.23%,106491.97,17.65%
2018-01-15,Stock,金地集团(600383.XSHG),Long,100Shares,100Shares,15.94,1594,308,12.86,-,0,2,0Shares,23.95%,106491.97,1.5%
2018-01-15,Stock,长城汽车(601633.XSHG),Long,1700Shares,1700Shares,12.12,20604,884,11.6,-,0,-204,0Shares,4.48%,106491.97,19.35%
2018-01-15,,Cash,,,,,25920.97,,,,,,,,0
2018-01-16,Stock,海螺水泥(600585.XSHG),Long,600Shares,600Shares,32.04,19224,1344,29.8,-,0,402,0Shares,7.52%,109875.99,17.5%
2018-01-16,Stock,金融街(000402.XSHE),Long,1800Shares,0Shares,12.55,22590,1332,11.81,-,0,1332,1800Shares,6.27%,109875.99,20.56%
2018-01-16,Stock,龙蟒佰利(002601.XSHE),Long,1200Shares,0Shares,17,20400,432,16.64,-,0,432,1200Shares,2.16%,109875.99,18.57%
2018-01-16,Stock,大秦铁路(601006.XSHG),Long,2200Shares,0Shares,9.66,21252,0,9.66,-,0,0,2200Shares,0%,109875.99,19.34%
2018-01-16,Stock,新希望(000876.XSHE),Long,2700Shares,0Shares,8.32,22464,1269,7.85,-,0,1269,2700Shares,5.99%,109875.99,20.44%
2018-01-16,,Cash,,,,,3945.99,,,,,,,,0
2018-01-17,Stock,海螺水泥(600585.XSHG),Long,600Shares,600Shares,31.49,18894,1014,29.8,-,0,-330,0Shares,5.67%,108952.99,17.34%
2018-01-17,Stock,金融街(000402.XSHE),Long,1800Shares,1800Shares,12.25,22050,792,11.81,-,0,-540,0Shares,3.73%,108952.99,20.24%
2018-01-17,Stock,龙蟒佰利(002601.XSHE),Long,1200Shares,1200Shares,16.87,20244,276,16.64,-,0,-156,0Shares,1.38%,108952.99,18.58%
2018-01-17,Stock,大秦铁路(601006.XSHG),Long,2200Shares,2200Shares,9.67,21274,22,9.66,-,0,22,0Shares,0.1%,108952.99,19.53%
2018-01-17,Stock,新希望(000876.XSHE),Long,2700Shares,2700Shares,8.35,22545,1350,7.85,-,0,81,0Shares,6.37%,108952.99,20.69%
2018-01-17,,Cash,,,,,3945.99,,,,,,,,0
2018-01-18,Stock,海螺水泥(600585.XSHG),Long,600Shares,600Shares,32.12,19272,1392,29.8,-,0,378,0Shares,7.79%,110063.99,17.51%
2018-01-18,Stock,金融街(000402.XSHE),Long,1800Shares,1800Shares,12.13,21834,576,11.81,-,0,-216,0Shares,2.71%,110063.99,19.84%
2018-01-18,Stock,龙蟒佰利(002601.XSHE),Long,1200Shares,1200Shares,17.63,21156,1188,16.64,-,0,912,0Shares,5.95%,110063.99,19.22%
2018-01-18,Stock,大秦铁路(601006.XSHG),Long,2200Shares,2200Shares,9.65,21230,-22,9.66,-,0,-44,0Shares,-0.1%,110063.99,19.29%
2018-01-18,Stock,新希望(000876.XSHE),Long,2700Shares,2700Shares,8.38,22626,1431,7.85,-,0,81,0Shares,6.75%,110063.99,20.56%
2018-01-18,,Cash,,,,,3945.99,,,,,,,,0
2018-01-19,Stock,海螺水泥(600585.XSHG),Long,600Shares,600Shares,32.54,19524,1644,29.8,-,0,252,0Shares,9.19%,109882.99,17.77%
2018-01-19,Stock,金融街(000402.XSHE),Long,1800Shares,1800Shares,11.94,21492,234,11.81,-,0,-342,0Shares,1.1%,109882.99,19.56%
2018-01-19,Stock,龙蟒佰利(002601.XSHE),Long,1200Shares,1200Shares,17.28,20736,768,16.64,-,0,-420,0Shares,3.85%,109882.99,18.87%
2018-01-19,Stock,大秦铁路(601006.XSHG),Long,2200Shares,2200Shares,9.91,21802,550,9.66,-,0,572,0Shares,2.59%,109882.99,19.84%
2018-01-19,Stock,新希望(000876.XSHE),Long,2700Shares,2700Shares,8.29,22383,1188,7.85,-,0,-243,0Shares,5.61%,109882.99,20.37%
2018-01-19,,Cash,,,,,3945.99,,,,,,,,0
2018-01-22,Stock,海螺水泥(600585.XSHG),Long,600Shares,600Shares,32.99,19794,1914,29.8,-,0,270,0Shares,10.7%,110947.99,17.84%
2018-01-22,Stock,金融街(000402.XSHE),Long,1800Shares,1800Shares,11.99,21582,324,11.81,-,0,90,0Shares,1.52%,110947.99,19.45%
2018-01-22,Stock,龙蟒佰利(002601.XSHE),Long,1200Shares,1200Shares,17.55,21060,1092,16.64,-,0,324,0Shares,5.47%,110947.99,18.98%
2018-01-22,Stock,大秦铁路(601006.XSHG),Long,2200Shares,2200Shares,10.12,22264,1012,9.66,-,0,462,0Shares,4.76%,110947.99,20.07%
2018-01-22,Stock,新希望(000876.XSHE),Long,2700Shares,2700Shares,8.26,22302,1107,7.85,-,0,-81,0Shares,5.22%,110947.99,20.1%
2018-01-22,,Cash,,,,,3945.99,,,,,,,,0
2018-01-23,Stock,海螺水泥(600585.XSHG),Long,600Shares,600Shares,33.14,19884,2004,29.8,-,0,90,0Shares,11.21%,111241.99,17.87%
2018-01-23,Stock,金融街(000402.XSHE),Long,1800Shares,1800Shares,12.23,22014,756,11.81,-,0,432,0Shares,3.56%,111241.99,19.79%
2018-01-23,Stock,龙蟒佰利(002601.XSHE),Long,1200Shares,1200Shares,17.18,20616,648,16.64,-,0,-444,0Shares,3.25%,111241.99,18.53%
2018-01-23,Stock,大秦铁路(601006.XSHG),Long,2200Shares,2200Shares,10.12,22264,1012,9.66,-,0,0,0Shares,4.76%,111241.99,20.01%
2018-01-23,Stock,新希望(000876.XSHE),Long,2700Shares,2700Shares,8.34,22518,1323,7.85,-,0,216,0Shares,6.24%,111241.99,20.24%
2018-01-23,,Cash,,,,,3945.99,,,,,,,,0
2018-01-24,Stock,海螺水泥(600585.XSHG),Long,600Shares,600Shares,32.51,19506,1626,29.8,-,0,-378,0Shares,9.09%,110845.99,17.6%
2018-01-24,Stock,金融街(000402.XSHE),Long,1800Shares,1800Shares,12.19,21942,684,11.81,-,0,-72,0Shares,3.22%,110845.99,19.8%
2018-01-24,Stock,龙蟒佰利(002601.XSHE),Long,1200Shares,1200Shares,17.18,20616,648,16.64,-,0,0,0Shares,3.25%,110845.99,18.6%
2018-01-24,Stock,大秦铁路(601006.XSHG),Long,2200Shares,2200Shares,10.12,22264,1012,9.66,-,0,0,0Shares,4.76%,110845.99,20.09%
2018-01-24,Stock,新希望(000876.XSHE),Long,2700Shares,2700Shares,8.36,22572,1377,7.85,-,0,54,0Shares,6.5%,110845.99,20.36%
2018-01-24,,Cash,,,,,3945.99,,,,,,,,0
2018-01-25,Stock,海螺水泥(600585.XSHG),Long,600Shares,600Shares,33.69,20214,2334,29.8,-,0,708,0Shares,13.05%,110759.99,18.25%
2018-01-25,Stock,金融街(000402.XSHE),Long,1800Shares,1800Shares,11.93,21474,216,11.81,-,0,-468,0Shares,1.02%,110759.99,19.39%
2018-01-25,Stock,龙蟒佰利(002601.XSHE),Long,1200Shares,1200Shares,17.38,20856,888,16.64,-,0,240,0Shares,4.45%,110759.99,18.83%
2018-01-25,Stock,大秦铁路(601006.XSHG),Long,2200Shares,2200Shares,10.01,22022,770,9.66,-,0,-242,0Shares,3.62%,110759.99,19.88%
2018-01-25,Stock,新希望(000876.XSHE),Long,2700Shares,2700Shares,8.24,22248,1053,7.85,-,0,-324,0Shares,4.97%,110759.99,20.09%
2018-01-25,,Cash,,,,,3945.99,,,,,,,,0
2018-01-26,Stock,海螺水泥(600585.XSHG),Long,600Shares,600Shares,34.79,20874,2994,29.8,-,0,660,0Shares,16.74%,112721.99,18.52%
2018-01-26,Stock,金融街(000402.XSHE),Long,1800Shares,1800Shares,12.22,21996,738,11.81,-,0,522,0Shares,3.47%,112721.99,19.51%
2018-01-26,Stock,龙蟒佰利(002601.XSHE),Long,1200Shares,1200Shares,17.15,20580,612,16.64,-,0,-276,0Shares,3.06%,112721.99,18.26%
2018-01-26,Stock,大秦铁路(601006.XSHG),Long,2200Shares,2200Shares,10.22,22484,1232,9.66,-,0,462,0Shares,5.8%,112721.99,19.95%
2018-01-26,Stock,新希望(000876.XSHE),Long,2700Shares,2700Shares,8.46,22842,1647,7.85,-,0,594,0Shares,7.77%,112721.99,20.26%
2018-01-26,,Cash,,,,,3945.99,,,,,,,,0
2018-01-29,Stock,海螺水泥(600585.XSHG),Long,600Shares,600Shares,34.97,20982,3102,29.8,-,0,108,0Shares,17.35%,112613.99,18.63%
2018-01-29,Stock,金融街(000402.XSHE),Long,1800Shares,1800Shares,12.08,21744,486,11.81,-,0,-252,0Shares,2.29%,112613.99,19.31%
2018-01-29,Stock,龙蟒佰利(002601.XSHE),Long,1200Shares,1200Shares,17.41,20892,924,16.64,-,0,312,0Shares,4.63%,112613.99,18.55%
2018-01-29,Stock,大秦铁路(601006.XSHG),Long,2200Shares,2200Shares,10.07,22154,902,9.66,-,0,-330,0Shares,4.24%,112613.99,19.67%
2018-01-29,Stock,新希望(000876.XSHE),Long,2700Shares,2700Shares,8.48,22896,1701,7.85,-,0,54,0Shares,8.03%,112613.99,20.33%
2018-01-29,,Cash,,,,,3945.99,,,,,,,,0
2018-01-30,Stock,海螺水泥(600585.XSHG),Long,600Shares,600Shares,34.02,20412,2532,29.8,-,0,-570,0Shares,14.16%,111124.82,18.37%
2018-01-30,Stock,龙蟒佰利(002601.XSHE),Long,1200Shares,1200Shares,17.84,21408,1440,16.64,-,0,516,0Shares,7.21%,111124.82,19.26%
2018-01-30,Stock,中国神华(601088.XSHG),Long,800Shares,0Shares,25.9,20720,-208,26.16,-,0,-208,800Shares,-0.99%,111124.82,18.65%
2018-01-30,Stock,陕西煤业(601225.XSHG),Long,2200Shares,0Shares,9.95,21890,-220,10.05,-,0,-220,2200Shares,-1%,111124.82,19.7%
