,top_turnover,bottom_turnover
2021-08-14,0.09523809523809523,0.07936507936507933
2021-08-15,0.08163265306122447,0.07936507936507936
2021-08-16,0.0816326530612245,0.07936507936507936
2021-08-17,0.09523809523809523,0.09523809523809523
2021-08-18,0.08163265306122451,0.09523809523809523
2021-08-19,0.09523809523809522,0.09523809523809523
2021-08-20,0.09523809523809525,0.09523809523809523
2021-08-21,0.09523809523809522,0.07936507936507936
2021-08-22,0.09523809523809523,0.07936507936507935
2021-08-23,0.09523809523809525,0.09523809523809523
2021-08-24,0.08163265306122448,0.09523809523809522
2021-08-25,0.0816326530612245,0.09523809523809525
2021-08-26,0.06802721088435373,0.09523809523809525
2021-08-27,0.06802721088435373,0.09523809523809523
2021-08-28,0.09523809523809525,0.09523809523809523
2021-08-29,0.0816326530612245,0.09523809523809523
2021-08-30,0.0816326530612245,0.09523809523809525
2021-08-31,0.09523809523809523,0.07936507936507936
2021-09-01,0.09523809523809523,0.09523809523809523
2021-09-02,0.08163265306122448,0.06349206349206349
2021-09-03,0.09523809523809523,0.07936507936507936
2021-09-04,0.09523809523809523,0.06349206349206349
2021-09-05,0.0816326530612245,0.07936507936507935
2021-09-06,0.0816326530612245,0.06349206349206349
2021-09-07,0.06802721088435375,0.07936507936507936
2021-09-08,0.0952380952380952,0.04761904761904763
2021-09-09,0.09523809523809523,0.0634920634920635
2021-09-10,0.09523809523809523,0.07936507936507937
2021-09-11,0.09523809523809523,0.09523809523809523
2021-09-12,0.09523809523809523,0.07936507936507936
2021-09-13,0.0816326530612245,0.09523809523809522
2021-09-14,0.06802721088435373,0.09523809523809523
2021-09-15,0.09523809523809523,0.09523809523809523
2021-09-16,0.09523809523809525,0.07936507936507936
2021-09-17,0.09523809523809523,0.07936507936507936
2021-09-18,0.09523809523809525,0.09523809523809523
2021-09-19,0.08163265306122448,0.09523809523809523
2021-09-20,0.09523809523809523,0.09523809523809523
2021-09-21,0.09523809523809523,0.09523809523809523
2021-09-22,0.09523809523809523,0.09523809523809523
2021-09-23,0.0816326530612245,0.07936507936507936
2021-09-24,0.0816326530612245,0.07936507936507936
2021-09-25,0.0816326530612245,0.09523809523809523
2021-09-26,0.09523809523809525,0.0952380952380952
2021-09-27,0.09523809523809523,0.07936507936507933
2021-09-28,0.09523809523809523,0.06349206349206349
2021-09-29,0.09523809523809523,0.07936507936507936
2021-09-30,0.09523809523809525,0.06349206349206349
2021-10-01,0.08163265306122448,0.07936507936507936
2021-10-02,0.06802721088435376,0.09523809523809522
2021-10-03,0.06802721088435376,0.09523809523809522
2021-10-04,0.08163265306122451,0.07936507936507936
2021-10-05,0.09523809523809523,0.09523809523809523
2021-10-06,0.0816326530612245,0.09523809523809523
2021-10-07,0.09523809523809523,0.09523809523809523
2021-10-08,0.09523809523809523,0.09523809523809523
2021-10-09,0.09523809523809523,0.09523809523809525
2021-10-10,0.09523809523809523,0.09523809523809522
2021-10-11,0.08163265306122448,0.09523809523809523
2021-10-12,0.0816326530612245,0.08163265306122446
2021-10-13,0.0816326530612245,0.08163265306122448
2021-10-14,0.06802721088435375,0.08163265306122447
2021-10-15,0.09523809523809522,0.06802721088435373
2021-10-16,0.08163265306122452,0.08163265306122451
2021-10-17,0.08163265306122448,0.09523809523809523
2021-10-18,0.0816326530612245,0.09523809523809523
2021-10-19,0.09523809523809523,0.08163265306122448
2021-10-20,0.06802721088435376,0.09523809523809525
2021-10-21,0.0816326530612245,0.0952380952380952
2021-10-22,0.09523809523809522,0.0816326530612245
2021-10-23,0.09523809523809525,0.09523809523809523
2021-10-24,0.09523809523809523,0.09523809523809523
2021-10-25,0.09523809523809523,0.09523809523809523
2021-10-26,0.09523809523809526,0.0816326530612245
2021-10-27,0.09523809523809523,0.08163265306122447
2021-10-28,0.08333333333333334,0.0816326530612245
2021-10-29,0.09523809523809526,0.09523809523809523
2021-10-30,0.09523809523809523,0.09523809523809523
2021-10-31,0.09523809523809523,0.0816326530612245
2021-11-01,0.09523809523809523,0.06802721088435373
2021-11-02,0.08333333333333334,0.0816326530612245
2021-11-03,0.08333333333333331,0.0816326530612245
2021-11-04,0.09523809523809523,0.09523809523809522
2021-11-05,0.08333333333333331,0.09523809523809523
2021-11-06,0.08333333333333334,0.0816326530612245
2021-11-07,0.08333333333333333,0.0816326530612245
2021-11-08,0.09523809523809523,0.09523809523809523
2021-11-09,0.09523809523809523,0.09523809523809522
2021-11-10,0.09523809523809526,0.0816326530612245
2021-11-11,0.08333333333333331,0.09523809523809522
2021-11-12,0.08333333333333334,0.09523809523809523
2021-11-13,0.0833333333333333,0.09523809523809523
2021-11-14,0.07142857142857145,0.09523809523809525
2021-11-15,0.07142857142857142,0.09523809523809523
2021-11-16,0.09523809523809523,0.09523809523809523
2021-11-17,0.09523809523809522,0.09523809523809523
2021-11-18,0.09523809523809523,0.0816326530612245
2021-11-19,0.09523809523809523,0.06802721088435376
2021-11-20,0.09523809523809523,0.08163265306122448
2021-11-21,0.09523809523809523,0.08163265306122448
2021-11-22,0.09523809523809523,0.08163265306122448
2021-11-23,0.09523809523809523,0.09523809523809523
2021-11-24,0.08333333333333334,0.09523809523809523
2021-11-25,0.09523809523809523,0.09523809523809523
2021-11-26,0.08333333333333333,0.09523809523809523
2021-11-27,0.08333333333333333,0.06802721088435373
2021-11-28,0.08333333333333333,0.09523809523809523
2021-11-29,0.07142857142857142,0.09523809523809523
2021-11-30,0.07142857142857142,0.06802721088435373
2021-12-01,0.09523809523809523,0.08163265306122448
2021-12-02,0.09523809523809523,0.08163265306122448
2021-12-03,0.09523809523809523,0.09523809523809523
2021-12-04,0.09523809523809523,0.09523809523809523
2021-12-05,0.07142857142857142,0.09523809523809523
2021-12-06,0.09523809523809523,0.09523809523809523
2021-12-07,0.09523809523809525,0.08163265306122448
2021-12-08,0.07142857142857142,0.09523809523809523
2021-12-09,0.07142857142857142,0.09523809523809523
2021-12-10,0.07142857142857144,0.09523809523809526
2021-12-11,0.05952380952380952,0.054421768707482984
2021-12-12,0.04761904761904761,0.0816326530612245
2021-12-13,0.08333333333333333,0.09523809523809523
2021-12-14,0.059523809523809514,0.0816326530612245
2021-12-15,0.08333333333333333,0.08163265306122448
2021-12-16,0.08333333333333331,0.0816326530612245
2021-12-17,0.09523809523809523,0.09523809523809523
2021-12-18,0.09523809523809523,0.09523809523809522
2021-12-19,0.09523809523809523,0.09523809523809526
2021-12-20,0.09523809523809525,0.06802721088435373
2021-12-21,0.09523809523809523,0.0816326530612245
2021-12-22,0.08333333333333331,0.09523809523809523
2021-12-23,0.09523809523809525,0.09523809523809523
2021-12-24,0.08333333333333331,0.08163265306122447
2021-12-25,0.09523809523809523,0.09523809523809523
2021-12-26,0.09523809523809523,0.09523809523809523
2021-12-27,0.09523809523809523,0.09523809523809523
2021-12-28,0.08333333333333331,0.09523809523809523
2021-12-29,0.08333333333333334,0.08163265306122448
2021-12-30,0.09523809523809523,0.0816326530612245
2021-12-31,0.05952380952380953,0.0816326530612245
2022-01-01,0.05952380952380952,0.0816326530612245
2022-01-02,0.08333333333333333,0.09523809523809523
2022-01-03,0.07142857142857142,0.054421768707483005
2022-01-04,0.07142857142857142,0.08163265306122447
2022-01-05,0.07142857142857142,0.0816326530612245
2022-01-06,0.07142857142857142,0.0816326530612245
2022-01-07,0.09523809523809523,0.06802721088435373
2022-01-08,0.07142857142857142,0.06802721088435375
2022-01-09,0.09523809523809523,0.0816326530612245
2022-01-10,0.08333333333333334,0.08163265306122448
2022-01-11,0.07142857142857142,0.08163265306122447
2022-01-12,0.07142857142857142,0.09523809523809523
2022-01-13,0.09523809523809523,0.09523809523809523
2022-01-14,0.08333333333333334,0.09523809523809523
2022-01-15,0.09523809523809523,0.09523809523809523
2022-01-16,0.09523809523809523,0.09523809523809523
2022-01-17,0.07142857142857142,0.08163265306122448
2022-01-18,0.08333333333333334,0.09523809523809523
2022-01-19,0.07142857142857142,0.06802721088435375
2022-01-20,0.08333333333333334,0.054421768707482984
2022-01-21,0.09523809523809523,0.054421768707483
2022-01-22,0.08333333333333331,0.06802721088435376
2022-01-23,0.09523809523809522,0.08163265306122448
2022-01-24,0.08333333333333333,0.08163265306122447
2022-01-25,0.05952380952380952,0.06802721088435375
2022-01-26,0.05952380952380952,0.0816326530612245
2022-01-27,0.09523809523809525,0.06802721088435373
2022-01-28,0.08333333333333333,0.08163265306122448
2022-01-29,0.05952380952380953,0.05442176870748303
2022-01-30,0.07142857142857142,0.08163265306122451
2022-01-31,0.09523809523809523,0.08163265306122447
2022-02-01,0.09523809523809523,0.06802721088435373
2022-02-02,0.09523809523809523,0.09523809523809525
2022-02-03,0.09523809523809526,0.08163265306122448
2022-02-04,0.09523809523809522,0.09523809523809526
2022-02-05,0.08333333333333333,0.08163265306122448
2022-02-06,0.08333333333333334,0.09523809523809523
2022-02-07,0.09523809523809523,0.09523809523809523
2022-02-08,0.08333333333333333,0.09523809523809525
2022-02-09,0.08333333333333333,0.08163265306122447
2022-02-10,0.09523809523809523,0.09523809523809523
2022-02-11,0.09523809523809523,0.08163265306122452
2022-02-12,0.09523809523809523,0.0816326530612245
2022-02-13,0.08333333333333331,0.08163265306122448
2022-02-14,0.08333333333333334,0.08163265306122448
2022-02-15,0.08333333333333333,0.06802721088435375
2022-02-16,0.07142857142857142,0.06802721088435375
2022-02-17,0.05952380952380952,0.09523809523809523
2022-02-18,0.07142857142857142,0.0816326530612245
2022-02-19,0.08333333333333333,0.06802721088435373
2022-02-20,0.07142857142857142,0.09523809523809523
2022-02-21,0.09523809523809523,0.09523809523809523
2022-02-22,0.09523809523809523,0.0816326530612245
2022-02-23,0.09523809523809523,0.0816326530612245
2022-02-24,0.09523809523809523,0.0816326530612245
2022-02-25,0.09523809523809523,0.09523809523809523
2022-02-26,0.07142857142857142,0.06802721088435373
2022-02-27,0.08333333333333334,0.06802721088435375
2022-02-28,0.08333333333333331,0.08163265306122447
2022-03-01,0.07142857142857142,0.09523809523809523
2022-03-02,0.08333333333333333,0.08163265306122448
2022-03-03,0.08333333333333333,0.08163265306122448
2022-03-04,0.08333333333333333,0.0816326530612245
2022-03-05,0.09523809523809523,0.08163265306122447
2022-03-06,0.08333333333333333,0.08163265306122451
2022-03-07,0.07142857142857142,0.06802721088435373
2022-03-08,0.07142857142857142,0.0816326530612245
2022-03-09,0.08333333333333333,0.06802721088435375
2022-03-10,0.08333333333333333,0.05442176870748299
2022-03-11,0.07142857142857142,0.08163265306122447
2022-03-12,0.08333333333333333,0.0816326530612245
2022-03-13,0.09523809523809523,0.0816326530612245
2022-03-14,0.08333333333333333,0.0952380952380952
2022-03-15,0.09523809523809523,0.0816326530612245
2022-03-16,0.09523809523809523,0.06802721088435373
2022-03-17,0.09523809523809523,0.06802721088435375
2022-03-18,0.08333333333333331,0.0816326530612245
2022-03-19,0.07142857142857142,0.09523809523809523
2022-03-20,0.07142857142857142,0.09523809523809523
2022-03-21,0.08333333333333333,0.09523809523809523
2022-03-22,0.08333333333333333,0.09523809523809523
2022-03-23,0.09523809523809523,0.0816326530612245
2022-03-24,0.09523809523809523,0.08163265306122448
2022-03-25,0.09523809523809523,0.08163265306122448
2022-03-26,0.09523809523809523,0.054421768707483
2022-03-27,0.09523809523809523,0.06802721088435373
2022-03-28,0.09523809523809523,0.0816326530612245
2022-03-29,0.08333333333333333,0.08163265306122448
2022-03-30,0.07142857142857142,0.08163265306122448
2022-03-31,0.09523809523809523,0.0952380952380952
2022-04-01,0.07142857142857142,0.09523809523809523
2022-04-02,0.08333333333333333,0.09523809523809523
2022-04-03,0.07142857142857142,0.08163265306122448
2022-04-04,0.08333333333333333,0.08163265306122451
2022-04-05,0.07142857142857142,0.0816326530612245
2022-04-06,0.09523809523809523,0.09523809523809523
2022-04-07,0.08333333333333333,0.0952380952380952
2022-04-08,0.08333333333333334,0.09523809523809523
2022-04-09,0.09523809523809523,0.09523809523809523
2022-04-10,0.07142857142857142,0.09523809523809526
2022-04-11,0.07142857142857142,0.09523809523809523
2022-04-12,0.08333333333333333,0.09523809523809523
2022-04-13,0.09523809523809523,0.08163265306122448
2022-04-14,0.09523809523809523,0.0816326530612245
2022-04-15,0.09523809523809523,0.06802721088435375
2022-04-16,0.08333333333333334,0.09523809523809523
2022-04-17,0.09523809523809523,0.06802721088435373
2022-04-18,0.09523809523809525,0.09523809523809523
2022-04-19,0.09523809523809523,0.0816326530612245
2022-04-20,0.08333333333333333,0.06802721088435373
2022-04-21,0.09523809523809523,0.06802721088435375
2022-04-22,0.09523809523809525,0.06802721088435375
2022-04-23,0.08333333333333333,0.054421768707483005
2022-04-24,0.09523809523809523,0.08163265306122448
2022-04-25,0.08333333333333334,0.09523809523809523
2022-04-26,0.08333333333333333,0.08163265306122448
2022-04-27,0.09523809523809523,0.06802721088435373
2022-04-28,0.09523809523809523,0.09523809523809523
2022-04-29,0.07142857142857142,0.09523809523809523
2022-04-30,0.08333333333333334,0.08163265306122447
2022-05-01,0.09523809523809523,0.0816326530612245
2022-05-02,0.07142857142857142,0.09523809523809523
2022-05-03,0.07142857142857144,0.0816326530612245
2022-05-04,0.07142857142857142,0.09523809523809525
2022-05-05,0.09523809523809523,0.09523809523809523
2022-05-06,0.08333333333333334,0.040816326530612256
2022-05-07,0.08333333333333334,0.0816326530612245
2022-05-08,0.08333333333333334,0.06802721088435376
2022-05-09,0.09523809523809523,0.06802721088435373
2022-05-10,0.08333333333333333,0.0816326530612245
2022-05-11,0.08333333333333334,0.08163265306122447
2022-05-12,0.08333333333333331,0.08163265306122452
2022-05-13,0.059523809523809514,0.08163265306122447
2022-05-14,0.09523809523809525,0.08163265306122448
2022-05-15,0.07142857142857142,0.09523809523809523
2022-05-16,0.08333333333333333,0.09523809523809523
2022-05-17,0.09523809523809523,0.0816326530612245
2022-05-18,0.08333333333333334,0.09523809523809522
2022-05-19,0.059523809523809514,0.06802721088435373
2022-05-20,0.08333333333333334,0.06802721088435376
2022-05-21,0.09523809523809522,0.08163265306122451
2022-05-22,0.08333333333333334,0.05442176870748299
2022-05-23,0.08333333333333334,0.08163265306122448
2022-05-24,0.08333333333333333,0.09523809523809525
2022-05-25,0.08333333333333334,0.09523809523809523
2022-05-26,0.07142857142857142,0.09523809523809525
2022-05-27,0.09523809523809523,0.08163265306122448
2022-05-28,0.09523809523809523,0.09523809523809526
2022-05-29,0.05952380952380953,0.06802721088435373
2022-05-30,0.08333333333333333,0.08163265306122447
2022-05-31,0.05952380952380952,0.08163265306122448
2022-06-01,0.08333333333333331,0.08163265306122448
2022-06-02,0.05952380952380953,0.08163265306122447
2022-06-03,0.07142857142857142,0.09523809523809523
2022-06-04,0.08333333333333333,0.09523809523809523
2022-06-05,0.07142857142857142,0.09523809523809523
2022-06-06,0.08333333333333333,0.09523809523809523
2022-06-07,0.08333333333333333,0.0816326530612245
2022-06-08,0.07142857142857142,0.09523809523809523
2022-06-09,0.07142857142857142,0.09523809523809522
2022-06-10,0.07142857142857142,0.08163265306122448
2022-06-11,0.08333333333333331,0.08163265306122451
2022-06-12,0.09523809523809523,0.08163265306122448
2022-06-13,0.09523809523809523,0.09523809523809523
2022-06-14,0.07142857142857142,0.09523809523809523
2022-06-15,0.09523809523809523,0.0816326530612245
2022-06-16,0.08333333333333334,0.08163265306122447
2022-06-17,0.08333333333333331,0.08163265306122448
2022-06-18,0.08333333333333334,0.06802721088435376
2022-06-19,0.08333333333333333,0.054421768707483
2022-06-20,0.08333333333333333,0.06802721088435373
2022-06-21,0.08333333333333334,0.06802721088435376
2022-06-22,0.09523809523809523,0.08163265306122447
2022-06-23,0.09523809523809523,0.06802721088435375
2022-06-24,0.09523809523809523,0.0816326530612245
2022-06-25,0.09523809523809523,0.09523809523809526
2022-06-26,0.08333333333333333,0.0816326530612245
2022-06-27,0.09523809523809523,0.09523809523809523
2022-06-28,0.09523809523809523,0.0816326530612245
2022-06-29,0.09523809523809523,0.09523809523809523
2022-06-30,0.09523809523809523,0.08163265306122448
2022-07-01,0.09523809523809523,0.06802721088435376
2022-07-02,0.08333333333333333,0.09523809523809523
2022-07-03,0.09523809523809523,0.09523809523809523
2022-07-04,0.08333333333333333,0.09523809523809523
2022-07-05,0.08333333333333333,0.09523809523809522
2022-07-06,0.08333333333333333,0.09523809523809523
2022-07-07,0.07142857142857142,0.09523809523809525
2022-07-08,0.09523809523809523,0.09523809523809525
2022-07-09,0.08333333333333333,0.09523809523809523
2022-07-10,0.09523809523809523,0.0816326530612245
2022-07-11,0.08333333333333333,0.09523809523809523
2022-07-12,0.09523809523809523,0.09523809523809526
2022-07-13,0.09523809523809523,0.0816326530612245
